raw_line,line_type,source_file
Evrak No :202500973,evrak,lescon    örme usd hs.xls
Evrak No :202500972,evrak,lescon    örme usd hs.xls
Evrak No :202501006,evrak,lescon    örme usd hs.xls
Evrak No :202501005,evrak,lescon    örme usd hs.xls
Evrak No :202501053,evrak,lescon    örme usd hs.xls
6.50$+KDV /JAKAR SUPREM PES ELASTAN ANTISTATIK APRE,price_product,lescon    örme usd hs.xls
Evrak No :202501024,evrak,lescon    örme usd hs.xls
"1.040.925,40 TL/36,3125 21.02.25 VD.ÇEK TAHSİL-FNo:182915",kur_farki,lescon    örme usd hs.xls
"68.080,53 TL/36,1711 16.02.25 VD.ÇEK FARKI-FNo:182921",kur_farki,lescon    örme usd hs.xls
Evrak No :202501084,evrak,lescon    örme usd hs.xls
Evrak No :202501083,evrak,lescon    örme usd hs.xls
Evrak No :202501082,evrak,lescon    örme usd hs.xls
Evrak No :202502677,evrak,lescon    örme usd hs.xls
Evrak No :202501140,evrak,lescon    örme usd hs.xls
Evrak No :202501131,evrak,lescon    örme usd hs.xls
Evrak No :202501200,evrak,lescon    örme usd hs.xls
6.50$+KDV /POLY.YAGMUR DESEN SIK NOKTA ANTISTATIK APRE,price_product,lescon    örme usd hs.xls
"1.041.154,90 TL/36,4530 26.02.25 VD.ÇEK TAHSİL-FNo:182952",kur_farki,lescon    örme usd hs.xls
"72.415,85 TL/36,3125 21.02.25 VD.ÇEK FARKI-FNo:182969",kur_farki,lescon    örme usd hs.xls
Evrak No :202501208,evrak,lescon    örme usd hs.xls
Evrak No :202501207,evrak,lescon    örme usd hs.xls
Evrak No :202502908,evrak,lescon    örme usd hs.xls
6.50$+KDV /RAPORLU PIKE GIPELI EKRU,price_product,lescon    örme usd hs.xls
"76.740,50 TL/36,4530 26.02.25 VD.ÇEK FARKI-FNo:182996",kur_farki,lescon    örme usd hs.xls
Evrak No :202501396,evrak,lescon    örme usd hs.xls
6.50$+KDV /JAKAR SUPREM PES ELASTAN ANTISTATIK APRE PFD,price_product,lescon    örme usd hs.xls
Evrak No :202501324,evrak,lescon    örme usd hs.xls
11$+KDV /NAYL.ELASTAN OTTOMAN,price_product,lescon    örme usd hs.xls
Evrak No :202501372,evrak,lescon    örme usd hs.xls
7.50$+KDV /INTERLOK SCUBA POLY.ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202501422,evrak,lescon    örme usd hs.xls
7.50$+KDV /SCUBA POLY.RAPORLU KESIK CIZGI FDY ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202501421,evrak,lescon    örme usd hs.xls
7.50$+KDV /SCUBA POLY.RAPORLU CIZGILI ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202501420,evrak,lescon    örme usd hs.xls
7$+KDV /INTERLOK POLY.PAMUK ELASTAN,price_product,lescon    örme usd hs.xls
